codice_gruppo,codice_isolato,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
3,270423089,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423090,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423091,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423092,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423093,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423094,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423095,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423096,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423098,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423099,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423100,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423101,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423102,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423103,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423104,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423105,270425111,5,12,Terraferma,Gazzera,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423106,270425111,5,12,Terraferma,Gazzera,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423107,270425111,5,12,Terraferma,Gazzera,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423108,270425111,5,12,Terraferma,Gazzera,Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423109,270425111,5,12,Terraferma,Gazzera,Chirignago - Zelarino,"Chirignago, Gazzera"
